Year,Entity,Pred_Prevalence_Schizophrenia,Pred_Prevalence_Depression,Pred_Prevalence_Anxiety,Pred_Prevalence_Bipolar,Pred_Prevalence_Eating
2037-01-01,Albania,0.2885072530409662,2.539914707223924,3.8990876061409114,0.5419754997980597,0.1540369412592881
2038-01-01,Albania,0.28852252734015876,2.540840531820323,3.8991195747278873,0.5419754997980596,0.15479972195495575
2039-01-01,Albania,0.2885361058557896,2.5416463990119453,3.899142037999301,0.5419754997980596,0.15554437828616322
2040-01-01,Albania,0.2885481768571765,2.542347851460993,3.8991578221990526,0.5419754997980596,0.15627134090432704
2020-01-01,Algeria,0.24925076073841915,4.173734320406685,4.795597628201971,0.7562564824162369,0.21047321696049168
2021-01-01,Algeria,0.24930736149754154,4.210921102212011,4.817546937002455,0.7562383031360586,0.21036217965614326
2022-01-01,Algeria,0.24933513939940138,4.242311339591988,4.83794232011067,0.7562209252066686,0.21026739956026325
2023-01-01,Algeria,0.24934877193443625,4.268808577452732,4.856893789421709,0.7562043133041664,0.21018649642029832
2024-01-01,Algeria,0.24935546236096356,4.2911755193063374,4.874503568416375,0.7561884336617446,0.21011743848154643
2025-01-01,Algeria,0.24935874581536166,4.310055981130766,4.890866643550627,0.756173254001052,0.2100584914628432
2026-01-01,Algeria,0.24936035723321975,4.325993423139462,4.9060712766087855,0.7561587434665812,0.21000817500282717
2027-01-01,Algeria,0.24936114806726176,4.339446592884065,4.920199480784133,0.7561448725629497,0.20996522548300006
2028-01-01,Algeria,0.2493615361841483,4.350802729965434,4.933327463054852,0.7561316130949445,0.209928564293942
2029-01-01,Algeria,0.24936172665991138,4.360388712440869,4.945526035241474,0.75611893811021,0.20989727074773795
2030-01-01,Algeria,0.2493618201395243,4.368480465768691,4.956860995963057,0.7561068218444628,0.20987055895635354
2031-01-01,Algeria,0.2493618660164269,4.375310905119702,4.967393485552349,0.7560952396691202,0.209847758095297
2032-01-01,Algeria,0.24936188853139168,4.38107663966915,4.977180315844342,0.7560841680412388,0.20982829555692065
2033-01-01,Algeria,0.24936189958104,4.3859436318473,4.986274276617079,0.7560735844556585,0.20981168257028338
2034-01-01,Algeria,0.2493619050038656,4.39005197444598,4.99472442033764,0.7560634673992569,0.20979750192643962
2035-01-01,Algeria,0.24936190766522068,4.3935199230865996,5.002576326749222,0.7560537963072193,0.2097853975008951
2036-01-01,Algeria,0.24936190897133143,4.396447300121282,5.009872348726485,0.7560445515212373,0.20977506531010195
2037-01-01,Algeria,0.24936190961233018,4.3989183679458765,5.0166518407252925,0.7560357142495497,0.20976624587739173
2038-01-01,Algeria,0.24936190992691254,4.401004254431083,5.0229513710591,0.7560272665287445,0.20975871771662824
2039-01-01,Algeria,0.24936191008129982,4.402765000285916,5.028804919147001,0.7560191911872448,0.20975229176993265
2040-01-01,Algeria,0.24936191015706832,4.404251287285376,5.03424405879738,0.7560114718104045,0.2097468066597933
2020-01-01,America (IHME GBD),0.33133882710444185,3.611899243771724,5.614279286554188,0.8455807663746912,0.30085437614026583
2021-01-01,America (IHME GBD),0.33116146687704207,3.6162037626732317,5.716541011026714,0.8460595133370673,0.30080361925008875
2022-01-01,America (IHME GBD),0.33101634009484937,3.6203223504512505,5.802162671551422,0.8464982832600355,0.3007778240930045
2023-01-01,America (IHME GBD),0.3308975886519899,3.62426303828963,5.873851945214882,0.8469004143656743,0.3007647147372761
2024-01-01,America (IHME GBD),0.3308004190946681,3.628033510470029,5.933875914931183,0.8472689661228875,0.3007580524321367
2025-01-01,America (IHME GBD),0.3307209091313131,3.6316411193561495,5.984132763081393,0.8476067425242658,0.30075466658231387
2026-01-01,America (IHME GBD),0.3306558493075682,3.635092899730733,6.026211799138674,0.847916313419249,0.3007529458597137
2027-01-01,America (IHME GBD),0.33060261345526615,3.638395582513281,6.061443719577014,0.8482000340658945,0.3007520713713513
2028-01-01,America (IHME GBD),0.3305590526860049,3.6415556078852482,6.090942689469854,0.848460063050006,0.30075162694765634
2029-01-01,America (IHME GBD),0.33052340865033014,3.6445791378482957,6.115641576556116,0.8486983787079515,0.30075140108710846
2030-01-01,America (IHME GBD),0.33049424256119236,3.647472068240103,6.136321452006546,0.8489167941781195,0.3007512863025287
2031-01-01,America (IHME GBD),0.33047037711668,3.6502400402311617,6.153636290814937,0.8491169711955255,0.3007512279678621
2032-01-01,America (IHME GBD),0.3304508489777141,3.652888451324973,6.168133652932965,0.8493004327345216,0.3007511983216035
2033-01-01,America (IHME GBD),0.33043486988244636,3.6554224658830967,6.180271999163445,0.8494685745957951,0.30075118325507966
2034-01-01,America (IHME GBD),0.3304217948277255,3.65784702519558,6.1904351894053296,0.8496226760258125,0.3007511755981222
2035-01-01,America (IHME GBD),0.3304110960332638,3.6601668571163968,6.19894462173915,0.8497639094495035,0.3007511717067802
2036-01-01,America (IHME GBD),0.3304023416375555,3.662386485282691,6.206069396236181,0.849893349390231,0.3007511697291614
2037-01-01,America (IHME GBD),0.33039517826559883,3.6645102379358026,6.212034824908996,0.8500119806449132,0.30075116872411584
2038-01-01,America (IHME GBD),0.33038931676475974,3.6665422563612706,6.217029556919851,0.8501207057764947,0.3007511682133417
2039-01-01,America (IHME GBD),0.3303845205329999,3.6684865029642792,6.221211544372646,0.8502203519807691,0.30075116795376117
2040-01-01,America (IHME GBD),0.33038059596833186,3.670346768996286,6.224713037349112,0.8503116773797994,0.30075116782183975
2020-01-01,American Samoa,0.302005371438522,2.6837166081654824,4.066062593030307,0.27973151497727206,0.1280912242992549
2021-01-01,American Samoa,0.30083071676437584,2.7078722912240014,4.084785706086659,0.2797307211885167,0.12803814776521788
2022-01-01,American Samoa,0.2998411764409615,2.7315199625511544,4.100853242135845,0.2797299927676698,0.1279948179474493
2023-01-01,American Samoa,0.29900757821570034,2.754670306006246,4.114641852711173,0.2797293243317331,0.12795944500643266
2024-01-01,American Samoa,0.2983053471042274,2.777333780759184,4.126474767292231,0.2797287109409943,0.12793056778006515
2025-01-01,American Samoa,0.29771378090485595,2.7995206260158616,4.136629370376977,0.27972814806252255,0.12790699342693776
2026-01-01,American Samoa,0.2972154398850388,2.821240865644162,4.145343703866193,0.2797276315366707,0.12788774815322962
2027-01-01,American Samoa,0.29679563264741043,2.8425043127026757,4.152822047187691,0.27972715754633515,0.12787203698787547
